text,rating,source,brand,date,doc_id
"It&#39;s difficult to definitively say which 25 Nike items are &quot;top&quot; today, as popularity and trends can shift quickly. However, here&#39;s a list based on popular models and recent releases, encompassing sneakers and running shoes:<br>Sneakers:<br>Air Force 1: A classic and versatile silhouette, known for its comfort and style. <br>Air Jordan 1: A legendary sneaker, constantly updated with new colorways and collaborations. <br>Air Max: A family of iconic running shoes and lifestyle sneakers, known for their visible air cushioning. <br>Dunk: A popular sneaker known for its versatility and collaborative releases. <br>Air Max 90: Another classic silhouette from the Air Max family. <br>Air Max 1: The original Air Max shoe, a cornerstone of the brand. <br>VaporMax: A modern silhouette known for its innovative technology and sleek design. <br>Nike SB: Specifically designed for skateboarding, these have gained popularity beyond the skateboarding scene. <br>Cortez: A classic Nike running shoe that has gained traction in the streetwear scene. <br>React: A family of shoes featuring Nike&#39;s reactive foam for cushioning and energy return. <br>Running Shoes:<br>Pegasus: A popular all-around running shoe known for its versatility and value. <br>Vomero: A highly cushioned",1,YouTube,Nike,2025-05-22,YT_60
"I raced my first 10K in probably 8 years this last weekend, and there were so many people wearing the Alphafly. They were super loud and it honestly just made me kind of laugh!",3,YouTube,Nike,2025-05-22,YT_61
"Just runned my HM in my Pegasus 41, <a href=""https://www.youtube.com/watch?v=qO27nI7Cm-g&amp;t=240"">4:00</a>/km, mby in next one i will try it in VF 4. Just exspensive 350 euros for VF4 in my country, but if i get extra -10min off in HM?",1,YouTube,Nike,2025-05-19,YT_62
I’m going to start talking like this from now on.,0,YouTube,Nike,2025-05-19,YT_63
Got a pair of Zoom fly 6 off Stock X for 120 and pretty impressed by it,0,YouTube,Nike,2025-05-16,YT_64
"Invincible 3 the best daily shoe ever, so comfortable but don’t find them good for anything more than 5k run",1,YouTube,Nike,2025-05-16,YT_65
That’s cause the structure sucks.,1,YouTube,Nike,2025-05-15,YT_66
"I&#39;ve been running in the Pegasus since the 35 launched and have loved the shoes. However, with 41 I have got the feeling they repurposed the shoe more for heel strikers, which I&#39;m not. Therefore, really not a fan of the 41, as for me it&#39;s not the perfect all rounder anymore.",0,YouTube,Nike,2025-05-15,YT_67
Doesn&#39;t the zoom fly 6 have 40mm stack in order to be race legal for triathlon events? On the video it says 42mm,0,YouTube,Nike,2025-05-15,YT_68
I snagged a pair of pegasus 41s from my Nike Factory store for $60,0,YouTube,Nike,2025-05-14,YT_69
Wear Alphafly 3 for my marathons—find they run small—recommend sizing up a 0.5 size to save your toenails!,18,YouTube,Nike,2025-05-14,YT_70
"My current lineup: <br><br>Pegasus 39 (almost retired after 800k) - Vomero 17 - Pegasus Plus - Vaporfly 3 <br><br>I will probably get soon Fly 6, still mixed feeling about Plus even though I did PB 10K in it. Chose VF3 because I want to use it for Marathon, VF4 is more limited in this regard. Vomero is good shoe, got overlooked, if you can get it for like 70€ or under on clearance, get it. I did HM PB in it, they are better more I use them (at 200km atm).",1,YouTube,Nike,2025-05-13,YT_71
"Guys if I need a trainer for…padel, badminton, any astroturf based sports, but then also maybe for running which would be the best value for money and which would I  go for ? <br>I have flat feet, normal trainers start hurting my soles after an hour or two of sports <br><br>Thank you",1,YouTube,Nike,2025-05-13,YT_72
"It’s kind of odd that we haven’t seen any blips on the radar for the Peg 42. Also, I find it strange that Nike seemed to quietly discontinue the Infinity RN. Nike is really putting a lot of eggs in their basket by betting on the Pegasus and Vomero lines to deliver on the daily trainers with really, nothing super exciting for race day.",0,YouTube,Nike,2025-05-13,YT_73
"After seeing your ringing endorsement of the Zoom Fly 6, I picked up a pair and love them. They have performed well on pavements, a few different parkrun surfaces and even a social track session with my club. I find them speedy and comfortable. They&#39;re my only carbon plated trainer but I like what they do.",4,YouTube,Nike,2025-05-13,YT_74
Man my novablast 5&#39;s absolutely died after 500km. Foam lost all the bounce. Really disappointing. Now in the zoom fly 6&#39;s instead.,0,YouTube,Nike,2025-05-13,YT_75
"Question: I have the alphafly 3. And I’m gonna do a coopers test, 12 min so far you can go. Are the okay for that? Or is it only half marathon and above?",0,YouTube,Nike,2025-05-13,YT_76
Do you think you could race in vomero 18?,1,YouTube,Nike,2025-05-13,YT_77
Is anyone buying hokas?,0,YouTube,Nike,2025-05-12,YT_78
Another great video. Thanks Ben. Lots of discounted Vaporfly 3s available now which I think are great shoes for people who don’t want to spend big on alphaflys,0,YouTube,Nike,2025-05-12,YT_79
"I completely and utterly can&#39;t wear Nike at all! Because all their shoes are narrow faced. I don&#39;t understand why. I have a wide duck feet so it&#39;s really painful wearing any of the Nike shoes! I can only wear New Balance. I have 2 pairs of the 680 Fresh Foam, Rebel V4 and the Supercomp Elite V4. These are best and most comfortable shoes for me though!!",1,YouTube,Nike,2025-05-12,YT_80
"currently rotating through the vomero 18, peg plus and vaporfly 3 and lowk think it’s the perfect nike rotation",0,YouTube,Nike,2025-05-11,YT_81
"Do you recommend Pegasus Plus for shoe rotation with Puma Deviate Nitro 3 , as an all-around non-carbon plated shoe ( 10k-20k, recovery run and easy run)? I&#39;m bit heavy (around 90 kg ) and my medium pace is about <a href=""https://www.youtube.com/watch?v=qO27nI7Cm-g&amp;t=390"">6:30</a>min/km .... Or maybe I have to look for something else? (ForeverRun, Novablast, Superblast...)",0,YouTube,Nike,2025-05-11,YT_82
"anyone knows that vaporfly is designed for 21k or lower races, alphafly for marathon, and pegasus is for daily run lol...",0,YouTube,Nike,2025-05-11,YT_83
"Slightly random question, what teal socks are those that you’re wearing with the zoom flys?",0,YouTube,Nike,2025-05-11,YT_84
"Hi Ben, I am a big fan of you and watch a lot of videos. I personally like sprinting, but I got into long distance because of you. Just a favor, but because I don&#39;t like to TRAIN in spikes because of highrisk injury, what is a good speed shoe for my drills and very fast workouts?",0,YouTube,Nike,2025-05-10,YT_85
"Thank You Ben, I really like those videos. Extremely helpful!",0,YouTube,Nike,2025-05-10,YT_86
Good video lad! You are a fast runner! 👣👟👟💨🏃‍➡️,0,YouTube,Nike,2025-05-10,YT_87
Have done all my intervals and long runs in the zoom fly 6 while training for my first marathon in 3 weeks time,1,YouTube,Nike,2025-05-10,YT_88
Love this video are you going to do an Adidas one?,0,YouTube,Nike,2025-05-10,YT_89
"I genuinely dislike how Nike brands the non-ZoomX foams as ZoomX in the shoes that include blends with other EVA’s. They’ve done it on quite a few in the lineup before, but the Vomero is a perfect example. It’s definitely a great shoe, however having that pinky-thin layer of ZoomX underfoot and then branding the midsole with ZoomX on the surface of its EVA carrier foam leads many to believe that it’s a ZoomX chunk there when that’s not the case. They do label them appropriately on the rear of the midsole, but it almost feels like it’s akin to fine print at the bottom of a contract. Not something I think is right, but I’m not a marketing expert and I guess it works for them even if it feels a bit scummy and disingenuous.",5,YouTube,Nike,2025-05-10,YT_90
overpriced polyester garbage,0,YouTube,Nike,2025-05-10,YT_91
Would not use nike even if i got paid to do so,0,YouTube,Nike,2025-05-10,YT_92
Why should I get the Pegasus Plus if I can get the Zoom Fly for less money?<br>Are the Pegasus better in any way?,0,YouTube,Nike,2025-05-10,YT_93
Can get the Pegasus plus on sale at SD for £85 currently.,0,YouTube,Nike,2025-05-10,YT_94
Ran Manchester marathon in Zoom Fly 6s after seeing unanimously positive reviews. I did most of my long runs in them in training (220km over 7 runs now) and had zero issues. Believe the hype!,81,YouTube,Nike,2025-05-10,YT_95
WTF Are they called I need to buy them,0,YouTube,Nike,2026-03-24,YT_96
All of these will still be made of synthetic crappy materials that have their own set of health issues.,0,YouTube,Nike,2026-03-23,YT_97
4 pointless products,0,YouTube,Nike,2026-03-22,YT_98
But you can&#39;t beat the physical this is sensory 😂😂😂 what a waste of money you need to be earthed foam nodes stop it that&#39;s not good,0,YouTube,Nike,2026-03-22,YT_99
Shoes that massage my feet wile I am working or that helps me walk faster to work... are you kidding? That&#39;s a dream! But I get it... it&#39;s a dream for those who don&#39;t use cars or other means of transportation. which means... poor people. And poor people are not the target for expensive high tech.,0,YouTube,Nike,2026-03-19,YT_100
Bro… kids at my school already get flamed for having an e-bike.. imagine if they bring e shoes lol,0,YouTube,Nike,2026-03-18,YT_101
Best For Blinds ❤️ That Mind Shoes 💯,0,YouTube,Nike,2026-03-13,YT_102
The “Mind” Shoe is pseudo science and you need to check out Rose Anvil’s dissection both literally and figuratively. This is just paid advertising.,0,YouTube,Nike,2026-03-08,YT_103
The powered shoes are perfect for people in healthcare industry,0,YouTube,Nike,2026-03-07,YT_104
Amplify is for my Fat Ass to get moving without hurting as much. Now get me something for my sad knees,0,YouTube,Nike,2026-03-06,YT_105
I&#39;m sorry honey I can&#39;t go out today my jacket sprung a leak and I can&#39;t find it,0,YouTube,Nike,2026-03-05,YT_106
I have the shoes 😏,0,YouTube,Nike,2026-03-02,YT_107
I mean all is nice and well till they sell them for a stupid amount that 50% can&#39;t afford.,0,YouTube,Nike,2026-02-26,YT_108
But white lol for the jacket need it in black,0,YouTube,Nike,2026-02-24,YT_109
"great for jobs walking or moving across long production areas, if it could increase posture and slowly correct back problems it would have the most potential.",0,YouTube,Nike,2026-02-24,YT_110
can i use those amplify shoes for hiking? or with just a normal day to day hike on a very hilly slopes or terrain?,0,YouTube,Nike,2026-02-24,YT_111
is this ai or reel,0,YouTube,Nike,2026-02-22,YT_112
The placebo effect (squared) 😂,1,YouTube,Nike,2026-02-20,YT_113
"One problem with that jacket unlike most jackets, if you slightly tear a fake leather jacket no problem sew it back up<br><br>Do that with this jacket? Its completely useless now 😭<br><br>In terms of the shoe for people who want to exercise burning the same amount of calories with less effort or even using it at work to help you feel less strained yes i get that (not that you could afford it at this point) or even people in physical therapy that need to start using those muscles but need some support for joints and such aswell<br><br>In terms of athletes in my mind it would make you a little lazier, part of the thrill for alot of marathon runners is pushing yourself under your own power, this is basically giving you a hand and reducing that effort which negates the reason for doing it.<br><br>Theres a difference between making a shoe that optimises how your feet work to as close as possible to being barefoot so you arent being held back<br><br>Then a shoe that is straight up doing some of the work for you",0,YouTube,Nike,2026-02-18,YT_114
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=591"">9:51</a> what the hell is this guy measuring like that? 😂😂 I’m No scientist, but I’m almost certain that’s not how that tool is used, Bub.",0,YouTube,Nike,2026-02-15,YT_115
"All companies always know,,,,,,,,,,,,,,,,,,,,,,,,the promise will always keep you coming. 😂",0,YouTube,Nike,2026-02-14,YT_116
"Please, theses shoes are not back by the science, just try to find the studies... Next time you will test Quantic shoes ? Please",0,YouTube,Nike,2026-02-13,YT_117
Doesn&#39;t China already have stuff like Amplify?,0,YouTube,Nike,2026-02-12,YT_118
getting a nike add in a video about nike is wild,0,YouTube,Nike,2026-02-11,YT_119
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=673"">11:13</a> stop the cap 😂🍃",0,YouTube,Nike,2026-02-11,YT_120
Basically its a wearable Balloon🎈🎈  Wearable Airbag😂,0,YouTube,Nike,2026-02-09,YT_121
"Yay! Nike finally named a shoe after an aibo software!! <a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=603"">10:03</a>",0,YouTube,Nike,2026-02-09,YT_122
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=16"">0:16</a> NIKE TECH",2,YouTube,Nike,2026-02-06,YT_123
woohoo lets go mind 1 came out but its expensive af,0,YouTube,Nike,2026-02-02,YT_124
Next step mix all the exo items together!,0,YouTube,Nike,2026-02-02,YT_125
Hi how I can buy them where can I get the regular price?<br><br>Thanks,0,YouTube,Nike,2026-01-28,YT_126
Nikes air max series is kaboom🧨🧨🧨🧨.,1,YouTube,Nike,2026-01-27,YT_127
This is peak silliness. Just run.,0,YouTube,Nike,2026-01-24,YT_128
Did you inflate your airbag or are you just happy to see me?,0,YouTube,Nike,2026-01-24,YT_129
Ahh man my shoes are dead now I have to move my legs 😢,2,YouTube,Nike,2026-01-23,YT_130
"I bought the Nike Mind 002, and i agree with every word you said. They are amazing.",0,YouTube,Nike,2026-01-22,YT_131
"mind shoes might be great for drumming,",0,YouTube,Nike,2026-01-18,YT_132
"Nike shoes are absolute trash. They are not the same shoe as 30 years ago. Cheaply made, fall apart after months - Nike living off name not quality.  Total crap shoes and it doesn’t matter how much you spend",0,YouTube,Nike,2026-01-16,YT_133
Nike has that crazy lab and they still make shoes shaped like wedges instead of feet.,0,YouTube,Nike,2026-01-16,YT_134
Air mattress jacket,0,YouTube,Nike,2026-01-15,YT_135
But what about mesh t shirts,0,YouTube,Nike,2026-01-14,YT_136
Just buy a barefoot shoe,0,YouTube,Nike,2026-01-13,YT_137
lol the world’s getting hotter good lord well done getting the message in this video,0,YouTube,Nike,2026-01-13,YT_138
They should test the Aero fit on me. One 20 min workout for me and I can&#39;t cool off enough. I know it&#39;s gross but that &quot;pool of sweat&quot; would be a lake.,0,YouTube,Nike,2026-01-13,YT_139
That jacket is pretty cool,0,YouTube,Nike,2026-01-12,YT_140
nike&#39;s mind flayer 🤣,0,YouTube,Nike,2026-01-12,YT_141
NIKE is becoming a tech company?<br>yeah we saw what maduro was wearing,0,YouTube,Nike,2026-01-11,YT_142
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=300"">5:00</a> - these shoes would be great for people with trouble walking, like MS",0,YouTube,Nike,2026-01-10,YT_143
They must&#39;ve paid you real well to gush over this nonsensical garbage,0,YouTube,Nike,2026-01-10,YT_144
"At what point, are the shoes running and not you.",0,YouTube,Nike,2026-01-10,YT_145
Now nike is stealing skechers  ideas 🤔,0,YouTube,Nike,2026-01-10,YT_146
How is the top comment top mentioning Back to the Future 2...?,0,YouTube,Nike,2026-01-09,YT_147
"<a href=""https://www.youtube.com/watch?v=Psp3YarOKVw&amp;t=723"">12:03</a>",0,YouTube,Nike,2026-01-09,YT_148
